project-01-db-1,15.88%,99.57MiB / 7.654GiB
project-01-graphql-service-1,135.34%,686.9MiB / 7.654GiB
project-01-grpc-service-1,4.37%,661MiB / 7.654GiB
project-01-rest-service-1,2.63%,93.83MiB / 7.654GiB
project-01-db-1,18.21%,86.57MiB / 7.654GiB
project-01-graphql-service-1,115.38%,776.7MiB / 7.654GiB
project-01-grpc-service-1,5.30%,661.4MiB / 7.654GiB
project-01-rest-service-1,3.23%,94.89MiB / 7.654GiB
project-01-db-1,52.40%,93.43MiB / 7.654GiB
project-01-graphql-service-1,113.43%,724.7MiB / 7.654GiB
project-01-grpc-service-1,11.84%,663.8MiB / 7.654GiB
project-01-rest-service-1,2.76%,94.96MiB / 7.654GiB
project-01-db-1,32.67%,108MiB / 7.654GiB
project-01-graphql-service-1,144.04%,692.2MiB / 7.654GiB
project-01-grpc-service-1,5.91%,671MiB / 7.654GiB
project-01-rest-service-1,2.88%,95.02MiB / 7.654GiB
project-01-db-1,33.01%,92.73MiB / 7.654GiB
project-01-graphql-service-1,111.76%,765.8MiB / 7.654GiB
project-01-grpc-service-1,11.87%,679.4MiB / 7.654GiB
project-01-rest-service-1,3.33%,95.07MiB / 7.654GiB
project-01-db-1,19.19%,117.6MiB / 7.654GiB
project-01-graphql-service-1,115.35%,714.7MiB / 7.654GiB
project-01-grpc-service-1,12.99%,686.4MiB / 7.654GiB
project-01-rest-service-1,2.39%,95.35MiB / 7.654GiB
project-01-db-1,56.34%,93.94MiB / 7.654GiB
project-01-graphql-service-1,113.61%,773.6MiB / 7.654GiB
project-01-grpc-service-1,12.25%,688.5MiB / 7.654GiB
project-01-rest-service-1,4.13%,99.31MiB / 7.654GiB
project-01-db-1,58.83%,90.25MiB / 7.654GiB
project-01-graphql-service-1,116.73%,743MiB / 7.654GiB
project-01-grpc-service-1,7.15%,692.5MiB / 7.654GiB
project-01-rest-service-1,4.21%,103.5MiB / 7.654GiB
project-01-db-1,49.92%,87.31MiB / 7.654GiB
project-01-graphql-service-1,153.22%,695.7MiB / 7.654GiB
project-01-grpc-service-1,3.00%,703MiB / 7.654GiB
project-01-rest-service-1,5.54%,103.7MiB / 7.654GiB
project-01-db-1,36.38%,93.44MiB / 7.654GiB
project-01-graphql-service-1,118.14%,766.5MiB / 7.654GiB
project-01-grpc-service-1,6.58%,718.5MiB / 7.654GiB
project-01-rest-service-1,3.06%,104MiB / 7.654GiB
project-01-db-1,29.92%,63.96MiB / 7.654GiB
project-01-graphql-service-1,118.91%,726.1MiB / 7.654GiB
project-01-grpc-service-1,35.69%,732.5MiB / 7.654GiB
project-01-rest-service-1,2.44%,103.8MiB / 7.654GiB
project-01-db-1,24.97%,59.36MiB / 7.654GiB
project-01-graphql-service-1,116.63%,790.9MiB / 7.654GiB
project-01-grpc-service-1,11.26%,733.1MiB / 7.654GiB
project-01-rest-service-1,1.72%,104.3MiB / 7.654GiB
project-01-db-1,52.40%,80.95MiB / 7.654GiB
project-01-graphql-service-1,115.99%,737.3MiB / 7.654GiB
project-01-grpc-service-1,8.04%,733.6MiB / 7.654GiB
project-01-rest-service-1,8.61%,103.9MiB / 7.654GiB
project-01-db-1,41.42%,84.25MiB / 7.654GiB
project-01-graphql-service-1,160.66%,687.7MiB / 7.654GiB
project-01-grpc-service-1,4.66%,740.1MiB / 7.654GiB
project-01-rest-service-1,0.38%,103.9MiB / 7.654GiB
project-01-db-1,39.28%,69.37MiB / 7.654GiB
project-01-graphql-service-1,114.92%,755.8MiB / 7.654GiB
project-01-grpc-service-1,5.08%,742.7MiB / 7.654GiB
project-01-rest-service-1,0.18%,103.9MiB / 7.654GiB
project-01-db-1,16.13%,63.42MiB / 7.654GiB
project-01-graphql-service-1,112.37%,713.1MiB / 7.654GiB
project-01-grpc-service-1,0.18%,743MiB / 7.654GiB
project-01-rest-service-1,0.06%,103.9MiB / 7.654GiB
project-01-db-1,7.36%,56.25MiB / 7.654GiB
project-01-graphql-service-1,111.92%,779.8MiB / 7.654GiB
project-01-grpc-service-1,0.00%,743MiB / 7.654GiB
project-01-rest-service-1,0.35%,103.8MiB / 7.654GiB
project-01-db-1,7.67%,57.13MiB / 7.654GiB
project-01-graphql-service-1,111.78%,760MiB / 7.654GiB
project-01-grpc-service-1,0.00%,742.9MiB / 7.654GiB
project-01-rest-service-1,0.05%,103.8MiB / 7.654GiB
project-01-db-1,7.47%,56.33MiB / 7.654GiB
project-01-graphql-service-1,148.49%,700.2MiB / 7.654GiB
project-01-grpc-service-1,0.00%,738.6MiB / 7.654GiB
project-01-rest-service-1,0.02%,105.6MiB / 7.654GiB
project-01-db-1,8.18%,57.12MiB / 7.654GiB
project-01-graphql-service-1,2.97%,185.6MiB / 7.654GiB
project-01-grpc-service-1,0.56%,631.9MiB / 7.654GiB
project-01-rest-service-1,0.96%,106.4MiB / 7.654GiB
project-01-db-1,6.97%,50.63MiB / 7.654GiB
project-01-graphql-service-1,0.69%,186.2MiB / 7.654GiB
project-01-grpc-service-1,0.56%,631.9MiB / 7.654GiB
project-01-rest-service-1,4.66%,107.4MiB / 7.654GiB
project-01-db-1,9.61%,52.45MiB / 7.654GiB
project-01-graphql-service-1,2.61%,186.5MiB / 7.654GiB
project-01-grpc-service-1,1.52%,632MiB / 7.654GiB
project-01-rest-service-1,3.08%,107.4MiB / 7.654GiB
project-01-db-1,16.82%,54.08MiB / 7.654GiB
project-01-graphql-service-1,2.08%,186.6MiB / 7.654GiB
project-01-grpc-service-1,1.74%,633MiB / 7.654GiB
project-01-rest-service-1,2.33%,107.4MiB / 7.654GiB
project-01-db-1,19.05%,54.05MiB / 7.654GiB
project-01-graphql-service-1,3.48%,186.6MiB / 7.654GiB
project-01-grpc-service-1,1.85%,634.3MiB / 7.654GiB
project-01-rest-service-1,2.71%,106.7MiB / 7.654GiB
project-01-db-1,16.09%,54.05MiB / 7.654GiB
project-01-graphql-service-1,2.37%,186.7MiB / 7.654GiB
project-01-grpc-service-1,6.28%,637.5MiB / 7.654GiB
project-01-rest-service-1,2.36%,106.5MiB / 7.654GiB
project-01-db-1,28.47%,57.06MiB / 7.654GiB
project-01-graphql-service-1,2.68%,186.7MiB / 7.654GiB
project-01-grpc-service-1,3.56%,639.4MiB / 7.654GiB
project-01-rest-service-1,3.61%,106.5MiB / 7.654GiB
project-01-db-1,35.57%,57.21MiB / 7.654GiB
project-01-graphql-service-1,3.11%,188.3MiB / 7.654GiB
project-01-grpc-service-1,4.28%,643MiB / 7.654GiB
project-01-rest-service-1,2.60%,107.8MiB / 7.654GiB
project-01-db-1,43.84%,58.79MiB / 7.654GiB
project-01-graphql-service-1,5.37%,188.7MiB / 7.654GiB
project-01-grpc-service-1,4.41%,648.9MiB / 7.654GiB
project-01-rest-service-1,5.05%,107.5MiB / 7.654GiB
project-01-db-1,49.50%,58.85MiB / 7.654GiB
project-01-graphql-service-1,5.50%,189.1MiB / 7.654GiB
project-01-grpc-service-1,6.37%,656MiB / 7.654GiB
project-01-rest-service-1,5.03%,109.5MiB / 7.654GiB
project-01-db-1,58.36%,68.57MiB / 7.654GiB
project-01-graphql-service-1,5.26%,189.2MiB / 7.654GiB
project-01-grpc-service-1,6.44%,666.8MiB / 7.654GiB
project-01-rest-service-1,5.69%,108MiB / 7.654GiB
project-01-db-1,68.02%,68.56MiB / 7.654GiB
project-01-graphql-service-1,10.19%,189.3MiB / 7.654GiB
project-01-grpc-service-1,7.28%,676.6MiB / 7.654GiB
project-01-rest-service-1,6.43%,108.3MiB / 7.654GiB
project-01-db-1,115.15%,68.61MiB / 7.654GiB
project-01-graphql-service-1,5.33%,189.8MiB / 7.654GiB
project-01-grpc-service-1,7.63%,697MiB / 7.654GiB
project-01-rest-service-1,6.48%,108.3MiB / 7.654GiB
project-01-db-1,124.16%,68.64MiB / 7.654GiB
project-01-graphql-service-1,6.71%,193.1MiB / 7.654GiB
project-01-grpc-service-1,9.03%,708MiB / 7.654GiB
project-01-rest-service-1,6.94%,108.1MiB / 7.654GiB
project-01-db-1,108.90%,68.87MiB / 7.654GiB
project-01-graphql-service-1,7.83%,193.2MiB / 7.654GiB
project-01-grpc-service-1,13.45%,726.8MiB / 7.654GiB
project-01-rest-service-1,9.17%,108.3MiB / 7.654GiB
project-01-db-1,137.18%,69.13MiB / 7.654GiB
project-01-graphql-service-1,7.80%,193.6MiB / 7.654GiB
